Construction Type,New Construction,Elevator,Floors In The Building,Floor Area,Number Of Rooms,Number Of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Children Are Welcome,Pets Allowed,Utility Payments,Duration,Date (Year),Date (Month),Date (Day),Amenities (Status),Appliances (Status),Parking (Status),Price (Usd/Month),Address (Street Types),Address (City/Town)
Stone,No,No,5.0,78.0,3.0,1.0,2.0,3.0,Closed Balcony,Available,Major Renovation,11.0,11.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,416.0,Echmiadzin,Armavir
Monolith,Yes,Yes,15.0,85.0,3.0,1.0,2.0,7.0,Open Balcony,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,11,24,Not Specified,Not Specified,Not Specified,1300.0,Aram Street,Yerevan
Monolith,Yes,Yes,7.0,84.0,3.0,1.0,3.0,4.0,Open Balcony,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,2080.0,Arabkir Street,Yerevan
Panels,No,Yes,9.0,49.0,2.0,1.0,2.0,6.0,Not Available,Available,Old Renovation,11.0,10.0,12.0,Daily,2022,12,15,Not Specified,Not Specified,Not Specified,1200.0,Saryan Street,Yerevan
Stone,No,No,5.0,35.0,1.0,1.0,3.0,2.0,Not Available,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,1200.0,Saryan Street,Yerevan
Monolith,Yes,Yes,12.0,50.0,2.0,1.0,3.0,12.0,Open Balcony,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,1300.0,Ajapnyak,Yerevan
Monolith,Yes,Yes,16.0,70.0,2.0,1.0,3.0,12.0,Open Balcony,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,1800.0,Byuzand Street,Yerevan
Panels,No,Yes,10.0,76.0,2.0,1.0,2.0,8.0,Open Balcony,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,520.0,Minsk Street,Yerevan
Stone,No,No,5.0,65.0,3.0,1.0,2.0,5.0,Not Available,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,950.0,Fuchik Street,Yerevan
Monolith,Yes,Yes,15.0,65.0,3.0,1.0,3.0,9.0,Open Balcony,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,1300.0,Arabkir Street,Yerevan
Panels,No,Yes,14.0,65.0,2.0,1.0,2.0,9.0,Not Available,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,780.0,Raynis Street,Yerevan
Monolith,Yes,Yes,13.0,150.0,3.0,1.0,3.0,11.0,Open Balcony,Available,Designer Renovation,11.0,10.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,2300.0,Leo Street,Yerevan
Stone,No,No,4.0,38.0,2.0,1.0,2.0,2.0,Not Available,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,572.0,Ajapnyak,Yerevan
Monolith,Yes,Yes,19.0,60.0,2.0,1.0,3.0,15.0,Not Available,Not Specified,Designer Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1000.0,Amiryan Street,Yerevan
Panels,No,Yes,9.0,80.0,3.0,1.0,2.0,9.0,Closed Balcony,Not Specified,Euro Renovation,0.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,728.0,Not Specified,Yerevan
Stone,No,No,4.0,40.0,2.0,1.0,2.0,2.0,Open Balcony,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,910.0,Marshal Baghramyan Avenue,Yerevan
Panels,No,Yes,9.0,65.0,2.0,1.0,2.0,5.0,Closed Balcony,Available,Cosmetic Renovation,11.0,10.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,910.0,Frik Street,Yerevan
Stone,No,No,4.0,56.0,2.0,1.0,2.0,2.0,Not Specified,Partial Furniture,Old Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,312.0,Hayk Hovsepyan Street,Yerevan
Monolith,Yes,Yes,9.0,60.0,2.0,1.0,2.0,7.0,Open Balcony,Available,Euro Renovation,11.0,10.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,1700.0,Hanrapetutyan Street,Yerevan
Monolith,Yes,Yes,8.0,121.0,2.0,2.0,3.0,8.0,Open Balcony,Available,Euro Renovation,11.0,12.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,1900.0,Northern Avenue,Yerevan
Monolith,Yes,Yes,10.0,65.0,3.0,1.0,2.0,7.0,Not Available,Available,Euro Renovation,11.0,12.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,1900.0,Yekmalyan Street,Yerevan
Panels,No,Yes,9.0,60.0,2.0,1.0,2.0,6.0,Not Available,Available,Major Renovation,10.0,10.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,520.0,Erebuni Street,Yerevan
Stone,No,No,3.0,77.0,3.0,1.0,2.0,1.0,Not Available,By Agreement,Major Renovation,11.0,10.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,624.0,Tbilisian Highway,Yerevan
Stone,No,No,5.0,50.0,2.0,1.0,2.0,3.0,Not Available,Available,Euro Renovation,11.0,10.0,12.0,Daily,2022,12,15,Not Specified,Not Specified,Not Specified,1110.0,Nalbandyan Street,Yerevan
Stone,No,No,5.0,110.0,4.0,1.0,3.0,2.0,Open Balcony,Available,Major Renovation,11.0,10.0,10.0,Monthly,2022,12,15,Not Specified,Not Specified,Not Specified,1200.0,Vratsakan Street,Yerevan
Monolith,Yes,Yes,17.0,80.0,3.0,1.0,2.0,5.0,Open Balcony,Not Specified,Designer Renovation,1.0,2.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,1205.0,Yekmalyan Street,Yerevan
Stone,No,No,5.0,47.0,2.0,1.0,3.0,3.0,Open Balcony,Not Specified,Major Renovation,1.0,1.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,1125.0,Tumanyan Street,Yerevan
Panels,No,Yes,9.0,64.0,3.0,1.0,2.0,3.0,Not Specified,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1200.0,Not Specified,Yerevan
Bricks,No,Yes,9.0,54.0,2.0,1.0,2.0,5.0,Not Specified,Not Specified,Major Renovation,1.0,0.0,2.0,Monthly,2023,1,7,Yes,Yes,Yes,650.0,Mikayelyan Street,Yerevan
Stone,No,No,4.0,32.0,1.0,1.0,2.0,2.0,Open Balcony,Not Specified,Cosmetic Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Not Specified,Yes,Not Specified,390.0,Shinararner Street,Yerevan
Monolith,Yes,Yes,11.0,86.0,3.0,1.0,3.0,4.0,Open Balcony,Not Specified,Euro Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1430.0,Davtashen Street,Yerevan
Panels,No,Yes,9.0,70.0,3.0,1.0,2.0,4.0,Closed Balcony,Not Specified,Cosmetic Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,442.0,Not Specified,Yerevan
Panels,No,Yes,10.0,80.0,3.0,1.0,2.0,7.0,Open Balcony,Not Specified,Designer Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,650.0,Ohanov Street,Yerevan
Stone,No,No,5.0,60.0,2.0,1.0,2.0,2.0,Closed Balcony,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,780.0,Not Specified,Yerevan
Stone,No,No,5.0,48.0,2.0,1.0,2.0,5.0,Not Specified,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,468.0,Not Specified,Yerevan
Stone,No,No,5.0,66.0,3.0,1.0,3.0,2.0,Open Balcony,Not Specified,Designer Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1600.0,Kajaznuni Street,Yerevan
Monolith,Yes,Yes,5.0,65.0,2.0,1.0,3.0,2.0,Not Specified,Not Specified,Designer Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1100.0,Yervand Kochar Street,Yerevan
